Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,88.5,87.6,89.3,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30.8,27.3,34.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,9.1,7.8,10.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.5,3.9,5.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,COPD,AgeAdjPrv,COPD
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6,5.5,6.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,15,12.6,17.7,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,LPA,CrdPrv,Physical Inactivity
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.7,68.9,76.2,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,21.3,18.6,24.2,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.9,6.7,9.3,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,11.4,9.5,13.6,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.4,2.2,2.6,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,30.7,26.2,35.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,75.2,71.4,78.7,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,9.2,8,10.5,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.6,18.7,24.8,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,88.1,87.2,88.9,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,87.5,85.4,89.4,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.5,17.8,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,54.6,51.1,57.9,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.3,11.8,15.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health
